Pos,2024,Title,Director,Year,Country,Mins,Seen
694,715,"Great Beauty, The","Sorrentino, Paolo",2013,Italy,141,
114,113,Greed,"von Stroheim, Erich",1924,USA,140,X
292,295,Army of Shadows,"Melville, Jean-Pierre",1969,France,140,
702,713,Dancer in the Dark,"von Trier, Lars",2000,Denmark,140,X
774,765,Ossessione,"Visconti, Luchino",1943,Italy,140,
834,824,Dodes'ka-den,"Kurosawa, Akira",1970,Japan,140,
957,,Excalibur,"Boorman, John",1981,UK,140,
3,3,2001: A Space Odyssey,"Kubrick, Stanley",1968,UK,139,X
193,190,"Tree of Life, The","Malick, Terrence",2011,USA,139,X
495,537,Fight Club,"Fincher, David",1999,USA,139,X
134,133,All About Eve,"Mankiewicz, Joseph L.",1950,USA,138,X
330,327,Husbands,"Cassavetes, John",1970,USA,138,X
415,429,All the President's Men,"Pakula, Alan J.",1976,USA,138,X
531,528,"Lives of Others, The","von Donnersmarck, Florian Henckel",2006,Germany,138,X
105,106,"Clockwork Orange, A","Kubrick, Stanley",1971,UK,137,X
337,336,"Time to Live and the Time to Die, The",Hou Hsiao-hsien,1985,Taiwan,137,
385,383,Aliens,"Cameron, James",1986,USA,137,X
57,56,North by Northwest,"Hitchcock, Alfred",1959,USA,136,X
110,111,Come and See,"Klimov, Elem",1985,USSR,136,X
172,175,Rosemary's Baby,"Polanski, Roman",1968,USA,136,X
238,237,"Matrix, The","Wachowski, Lana & Lilly Wachowski",1999,USA,136,X
311,321,Melancholia,"von Trier, Lars",2011,Denmark,136,X
359,359,Some Came Running,"Minnelli, Vincente",1958,USA,136,X
603,606,Terminator 2: Judgment Day,"Cameron, James",1991,USA,136,X
675,668,Silent Light,"Reygadas, Carlos",2007,Mexico,136,
7,7,8½,"Fellini, Federico",1963,Italy,135,X
79,80,"Wild Bunch, The","Peckinpah, Sam",1969,USA,135,X
144,141,"Gospel According to St. Matthew, The","Pasolini, Pier Paolo",1964,Italy,135,
204,206,Close Encounters of the Third Kind,"Spielberg, Steven",1977,USA,135,X
515,503,Early Summer,"Ozu, Yasujiro",1951,Japan,135,
707,704,Roma,"Cuarón, Alfonso",2018,Mexico,135,X
760,757,"New World, The","Malick, Terrence",2005,USA,135,X
862,844,They Were Expendable,"Ford, John",1945,USA,135,X
882,908,"Bridges of Madison County, The","Eastwood, Clint",1995,USA,135,X
4,4,Tokyo Story,"Ozu, Yasujiro",1953,Japan,134,X
376,377,Lost Highway,"Lynch, David",1997,USA,134,X
496,521,"Hustler, The","Rossen, Robert",1961,USA,134,X
497,509,Twin Peaks: Fire Walk with Me,"Lynch, David",1992,USA,134,X
510,522,Princess Mononoke,"Miyazaki, Hayao",1997,Japan,134,X
569,566,Brokeback Mountain,"Lee, Ang",2005,USA,134,X
121,120,"Red Shoes, The","Powell, Michael & Emeric Pressburger",1948,UK,133,X
147,145,One Flew Over the Cuckoo's Nest,"Forman, Milos",1975,USA,133,X
265,258,Red River,"Hawks, Howard",1948,USA,133,X
289,283,Pandora's Box,"Pabst, G.W.",1929,Germany,133,X
364,365,"Quince Tree Sun, The","Erice, Victor",1992,Spain,133,
522,530,"Age of Innocence, The","Scorsese, Martin",1993,USA,133,X
639,629,Harakiri,"Kobayashi, Masaki",1962,Japan,133,X
804,804,All Quiet on the Western Front,"Milestone, Lewis",1930,USA,133,
815,809,Broadcast News,"Brooks, James L.",1987,USA,133,X
235,242,Parasite,Bong Joon-ho,2019,South Korea,132,X
535,539,Memories of Murder,Bong Joon-ho,2003,South Korea,132,
70,70,Chinatown,"Polanski, Roman",1974,USA,131,X
225,225,Brazil,"Gilliam, Terry",1985,UK,131,X
518,524,Die Hard,"McTiernan, John",1988,USA,131,X
939,982,"Trou, Le","Becker, Jacques",1960,France,131,
209,210,Death in Venice,"Visconti, Luchino",1971,Italy,130,X
213,213,Wings of Desire,"Wenders, Wim",1987,West Germany,130,X
312,308,Faces,"Cassavetes, John",1968,USA,130,X
367,370,Marnie,"Hitchcock, Alfred",1964,USA,130,X
443,434,Flowers of Shanghai,Hou Hsiao-hsien,1998,Taiwan,130,
476,455,Phantom Thread,"Anderson, Paul Thomas",2017,USA,130,X
572,582,Being There,"Ashby, Hal",1979,USA,130,X
636,644,Rebecca,"Hitchcock, Alfred",1940,USA,130,X
671,703,"Piano Teacher, The","Haneke, Michael",2001,Austria,130,
685,673,"Intruder, The","Denis, Claire",2004,France,130,
960,,"Hurt Locker, The","Bigelow, Kathryn",2008,USA,130,X
972,954,Duel in the Sun,"Vidor, King",1946,USA,130,
989,992,Arabian Nights,"Pasolini, Pier Paolo",1974,Italy,130,
35,35,Raging Bull,"Scorsese, Martin",1980,USA,129,X
82,81,It's a Wonderful Life,"Capra, Frank",1946,USA,129,X
221,227,"Quiet Man, The","Ford, John",1952,USA,129,X
223,221,"Grapes of Wrath, The","Ford, John",1940,USA,129,X
313,315,City of God,"Meirelles, Fernando & Kátia Lund",2002,Brazil,129,X
363,360,Last Tango in Paris,"Bertolucci, Bernardo",1972,Italy,129,
398,394,In a Year with 13 Moons,"Fassbinder, Rainer Werner",1978,West Germany,129,
504,507,To Kill a Mockingbird,"Mulligan, Robert",1962,USA,129,X
570,557,Fellini Satyricon,"Fellini, Federico",1969,Italy,129,
692,679,Mr. Smith Goes to Washington,"Capra, Frank",1939,USA,129,X
769,777,"Man Who Would Be King, The","Huston, John",1975,UK,129,X
856,861,Starship Troopers,"Verhoeven, Paul",1997,USA,129,X
888,898,Who's Afraid of Virginia Woolf?,"Nichols, Mike",1966,USA,129,X
2,2,Vertigo,"Hitchcock, Alfred",1958,USA,128,X
210,214,"Great Dictator, The","Chaplin, Charles",1940,USA,128,X
298,319,Cabaret,"Fosse, Bob",1972,USA,128,X
613,600,Fellini's Roma,"Fellini, Federico",1972,Italy,128,
703,716,Thelma & Louise,"Scott, Ridley",1991,USA,128,X
897,894,Showgirls,"Verhoeven, Paul",1995,USA,128,
77,77,Amarcord,"Fellini, Federico",1973,Italy,127,X
300,302,Unforgiven,"Eastwood, Clint",1992,USA,127,X
480,479,Landscape in the Mist,"Angelopoulos, Theo",1988,Greece,127,
554,558,Se7en,"Fincher, David",1995,USA,127,X
597,595,Jurassic Park,"Spielberg, Steven",1993,USA,127,X
670,660,Amour,"Haneke, Michael",2012,Austria,127,
682,685,Wild at Heart,"Lynch, David",1990,USA,127,X
721,717,Moulin Rouge!,"Luhrmann, Baz",2001,Australia,127,X
761,790,Fort Apache,"Ford, John",1948,USA,127,X
966,975,Z,"Costa-Gavras, Constantin",1969,France,127,
124,126,"Eclisse, L'","Antonioni, Michelangelo",1962,Italy,126,
349,349,"Cloud-Capped Star, The","Ghatak, Ritwik",1960,India,126,X
393,389,Mon oncle,"Tati, Jacques",1958,France,126,
408,407,"Tenant, The","Polanski, Roman",1976,France,126,X
414,408,Dawn of the Dead,"Romero, George A.",1978,USA,126,X
445,458,Naked,"Leigh, Mike",1993,UK,126,X
621,612,"Amants du Pont-Neuf, Les","Carax, Leos",1991,France,126,
658,670,"Manchurian Candidate, The","Frankenheimer, John",1962,USA,126,X
762,746,Subarnarekha,"Ghatak, Ritwik",1965,India,126,
961,,Cool Hand Luke,"Rosenberg, Stuart",1967,USA,126,X
32,33,Ordet,"Dreyer, Carl Theodor",1955,Denmark,125,X
53,59,"Apartment, The","Wilder, Billy",1960,USA,125,X
85,84,Sansho the Bailiff,"Mizoguchi, Kenji",1954,Japan,125,X
351,353,Dog Day Afternoon,"Lumet, Sidney",1975,USA,125,X
