Pos	2019	2018	Title	Director	Year	Country	Length	Genre	Colour	Seen
396	400	0	Opening Night	Cassavetes, John	1977	USA	144	null	null	false
461	482	0	Dersu Uzala	Kurosawa, Akira	1975	USSR	144	null	null	true
578	575	0	Master, The	Anderson, Paul Thomas	2012	USA	144	null	null	true
975	984	0	Carlito's Way	De Palma, Brian	1993	USA	144	null	null	false
106	108	0	Ikiru	Kurosawa, Akira	1952	Japan	143	null	null	true
86	86	0	Shining, The	Kubrick, Stanley	1980	USA	142	null	null	true
327	348	0	High and Low	Kurosawa, Akira	1963	Japan	142	null	null	true
435	444	0	Shawshank Redemption, The	Darabont, Frank	1994	USA	142	null	null	true
486	499	0	Secrets & Lies	Leigh, Mike	1996	UK	142	null	null	true
586	613	0	Forrest Gump	Zemeckis, Robert	1994	USA	142	null	null	true
853	865	0	Time of the Gypsies	Kusturica, Emir	1988	Yugoslavia	142	null	null	false
867	853	0	Tin Drum, The	Schlöndorff, Volker	1979	West Germany	142	null	null	true
63	65	0	Rio Bravo	Hawks, Howard	1959	USA	141	null	null	true
229	229	0	Love Streams	Cassavetes, John	1984	USA	141	null	null	false
315	323	0	I Am Cuba	Kalatozov, Mikhail	1964	Cuba	141	null	null	false
354	347	0	Puppetmaster, The	Hou Hsiao-hsien	1993	Taiwan	141	null	null	false
694	715	0	Great Beauty, The	Sorrentino, Paolo	2013	Italy	141	null	null	false
114	113	0	Greed	von Stroheim, Erich	1924	USA	140	null	null	true
292	295	0	Army of Shadows	Melville, Jean-Pierre	1969	France	140	null	null	false
702	713	0	Dancer in the Dark	von Trier, Lars	2000	Denmark	140	null	null	true
774	765	0	Ossessione	Visconti, Luchino	1943	Italy	140	null	null	false
834	824	0	Dodes'ka-den	Kurosawa, Akira	1970	Japan	140	null	null	false
957	0	0	Excalibur	Boorman, John	1981	UK	140	null	null	false
3	3	0	2001: A Space Odyssey	Kubrick, Stanley	1968	UK	139	null	null	true
193	190	0	Tree of Life, The	Malick, Terrence	2011	USA	139	null	null	true
495	537	0	Fight Club	Fincher, David	1999	USA	139	null	null	true
134	133	0	All About Eve	Mankiewicz, Joseph L.	1950	USA	138	null	null	true
330	327	0	Husbands	Cassavetes, John	1970	USA	138	null	null	true
415	429	0	All the President's Men	Pakula, Alan J.	1976	USA	138	null	null	true
531	528	0	Lives of Others, The	von Donnersmarck, Florian Henckel	2006	Germany	138	null	null	true
105	106	0	Clockwork Orange, A	Kubrick, Stanley	1971	UK	137	null	null	true
337	336	0	Time to Live and the Time to Die, The	Hou Hsiao-hsien	1985	Taiwan	137	null	null	false
385	383	0	Aliens	Cameron, James	1986	USA	137	null	null	true
57	56	0	North by Northwest	Hitchcock, Alfred	1959	USA	136	null	null	true
110	111	0	Come and See	Klimov, Elem	1985	USSR	136	null	null	true
172	175	0	Rosemary's Baby	Polanski, Roman	1968	USA	136	null	null	true
238	237	0	Matrix, The	Wachowski, Lana & Lilly Wachowski	1999	USA	136	null	null	true
311	321	0	Melancholia	von Trier, Lars	2011	Denmark	136	null	null	true
359	359	0	Some Came Running	Minnelli, Vincente	1958	USA	136	null	null	true
603	606	0	Terminator 2: Judgment Day	Cameron, James	1991	USA	136	null	null	true
675	668	0	Silent Light	Reygadas, Carlos	2007	Mexico	136	null	null	false
7	7	0	8½	Fellini, Federico	1963	Italy	135	null	null	true
79	80	0	Wild Bunch, The	Peckinpah, Sam	1969	USA	135	null	null	true
144	141	0	Gospel According to St. Matthew, The	Pasolini, Pier Paolo	1964	Italy	135	null	null	false
204	206	0	Close Encounters of the Third Kind	Spielberg, Steven	1977	USA	135	null	null	true
515	503	0	Early Summer	Ozu, Yasujiro	1951	Japan	135	null	null	false
707	704	0	Roma	Cuarón, Alfonso	2018	Mexico	135	null	null	true
760	757	0	New World, The	Malick, Terrence	2005	USA	135	null	null	true
862	844	0	They Were Expendable	Ford, John	1945	USA	135	null	null	true
882	908	0	Bridges of Madison County, The	Eastwood, Clint	1995	USA	135	null	null	true
